1,150,10
2,150,10
3,150,10
4,150,10
5,150,10
6,150,10
6X,150,10
7,150,11
7X,150,11
GS,150,6
A,230,10
B,230,10
C,230,10
D,230,10
E,230,10
F,230,10
FS,230,2
G,230,8
H,230,10
J,200,8
L,200,8
M,200,8
N,230,10
Q,230,10
R,230,10
W,230,10
Z,200,8
WT,0,0
NIS,0,0
